kernel,H,W,K,TH,TW,width,unroll,reps,ms,gflops,instructions,l1_loads,l1_misses,mpki
combo,1024,1024,5,256,256,256,1,20,5.4915,9.547,877126949,161131184,55992492,63.8362
combo,1024,1024,5,512,512,256,1,20,8.0765,6.492,837124051,156694650,39046993,46.6442
combo,1024,1024,5,0,0,256,1,20,11.1048,4.721,817310028,154521581,29675936,36.3093
combo,1024,1024,5,16,16,256,2,20,11.4468,4.580,2166081058,321411784,25084408,11.5805
combo,1024,1024,5,32,32,256,2,20,11.1154,4.717,1337232868,230948442,41000687,30.6608
combo,1024,1024,5,64,64,256,2,20,7.4070,7.078,935731260,189957424,71726638,76.6530
combo,1024,1024,5,128,128,256,2,20,4.4516,11.778,738073520,170484345,54147148,73.3628
combo,1024,1024,5,256,256,256,2,20,4.9965,10.493,640495831,161110097,50788833,79.2961
combo,1024,1024,5,512,512,256,2,20,7.8303,6.696,592438105,156626375,36082589,60.9052
combo,1024,1024,5,0,0,256,2,20,10.6368,4.929,568947013,154522673,27450291,48.2475
combo,2048,2048,5,16,16,0,1,20,97.4689,2.152,22288223561,5242343118,151483390,6.7966
combo,2048,2048,5,32,32,0,1,20,89.4656,2.344,19545890504,4880292178,164621709,8.4223
combo,2048,2048,5,64,64,0,1,20,101.3845,2.069,18232953543,4717824703,307386519,16.8588
combo,2048,2048,5,128,128,0,1,20,88.7028,2.364,17584398953,4639585961,294859417,16.7682
combo,2048,2048,5,256,256,0,1,20,86.0733,2.436,17265024894,4601950464,268569701,15.5557
combo,2048,2048,5,512,512,0,1,20,84.7510,2.474,17105768312,4583302062,259152815,15.1500
combo,2048,2048,5,0,0,0,1,20,117.5156,1.785,16993443865,4571111050,136908489,8.0565
combo,2048,2048,5,16,16,0,2,20,92.9619,2.256,20844946355,5242013335,151347942,7.2607
combo,2048,2048,5,32,32,0,2,20,84.7592,2.474,18102292406,4879861464,163652042,9.0404
combo,2048,2048,5,64,64,0,2,20,89.1952,2.351,16786100189,4716596741,286013078,17.0387
combo,2048,2048,5,128,128,0,2,20,86.8630,2.414,16141361966,4639297961,289914730,17.9610
combo,2048,2048,5,256,256,0,2,20,85.7070,2.447,15822199429,4601680751,269672812,17.0440
combo,2048,2048,5,512,512,0,2,20,85.3072,2.458,15663977438,4583301304,259721886,16.5808
combo,2048,2048,5,0,0,0,2,20,118.9950,1.762,15552266715,4571247392,139052728,8.9410
combo,2048,2048,5,16,16,128,1,20,47.0645,4.456,11411617912,1848479101,136632141,11.9731
combo,2048,2048,5,32,32,128,1,20,34.3660,6.102,8378519493,1485831317,161135531,19.2320
combo,2048,2048,5,64,64,128,1,20,31.0040,6.764,6917909050,1322484144,265636992,38.3985
combo,2048,2048,5,128,128,128,1,20,28.2212,7.431,6200243537,1244983290,248083099,40.0118
combo,2048,2048,5,256,256,128,1,20,28.4306,7.376,5846068831,1207641821,234112956,40.0462
combo,2048,2048,5,512,512,128,1,20,35.2147,5.955,5670162152,1189321845,109316732,19.2793
combo,2048,2048,5,0,0,128,1,20,78.4867,2.672,5547507607,1177917516,40056403,7.2206
combo,2048,2048,5,16,16,128,2,20,45.9441,4.565,10811220834,1848327355,123269571,11.4020
combo,2048,2048,5,32,32,128,2,20,38.8163,5.403,7347573605,1486163804,157909980,21.4914
combo,2048,2048,5,64,64,128,2,20,26.6044,7.883,5668480247,1322282712,233796655,41.2450
combo,2048,2048,5,128,128,128,2,20,25.1792,8.329,4842894351,1244817994,221543206,45.7460
combo,2048,2048,5,256,256,128,2,20,26.4331,7.934,4434277281,1207402253,238126753,53.7014
combo,2048,2048,5,512,512,128,2,20,34.0799,6.154,4232079557,1189266903,108928458,25.7388
combo,2048,2048,5,0,0,128,2,20,83.9323,2.499,4090358615,1178172966,37519011,9.1725
combo,2048,2048,5,16,16,256,1,20,45.9002,4.569,8654471261,1283193188,98969417,11.4356
combo,2048,2048,5,32,32,256,1,20,41.4142,5.064,5842179805,920950052,159259372,27.2603
combo,2048,2048,5,64,64,256,1,20,26.1869,8.008,4488825980,757029334,269493556,60.0365
combo,2048,2048,5,128,128,256,1,20,20.5932,10.184,3825869488,679519389,224511696,58.6825
